Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
Pc de Bureau Gamer MYTEK Ultra 7 265K 64Go MSI RTX 5070 Ti 16G,"8 099,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-7-265k-64go-msi-rtx-5070-ti-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-7-265k-64go-msi-rtx-5070-ti-16g.jpg,Sur commande 48h,[DAVINCI-265K-5070Ti],Intel,Unknown,Unknown,5.5,30,Unknown,ddr5,2,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i7 14è Gén 128Go RTX 5080 16G,"9 499,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-128go-rtx-5080-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-14e-gen-128go-rtx-5080-16g.jpg,Sur commande 48h,[GALILEO-14700K-5080],Intel,i7-14700k,Unknown,5.6,33,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5080,16
Pc de Bureau Gamer MYTEK i7 14è Gén 128Go RTX 5070Ti 16G,"9 499,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-128go-rtx-5070ti-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-14e-gen-128go-rtx-5070ti-16g.jpg,Sur commande 48h,[GALILEO-14700K-5070Ti],Intel,i7-14700k,Unknown,5.6,33,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK Ultra 7 265K 128Go RTX 5070Ti 16G,"10 999,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-5070ti-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-5070ti-16g.jpg,Sur commande 48h,[KEPLER-265K-5070Ti],Intel,Unknown,Unknown,5.5,30,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i9 14è Gén 128Go RTX 5080 16G,"12 699,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i9-14e-gen-128go-rtx-5080-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i9-14e-gen-128go-rtx-5080-16g.jpg,Sur commande 48h,[GALILEO-14900K-5080],Intel,i9-14900k,Unknown,6,36,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5080,16
Pc de Bureau Gamer MYTEK Ultra 7 265K 128Go RTX 5080 16G,"12 999,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-5080-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-5080-16g.jpg,Sur commande 48h,[KEPLER-265K-5080],Intel,Unknown,Unknown,5.5,30,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5080,Unknown
Pc de Bureau Gamer MYTEK Ultra 9 285K 128Go RTX 5080 16G,"13 899,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-9-285k-128go-rtx-5080-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-9-285k-128go-rtx-5080-16g.jpg,Sur commande 48h,[KEPLER-285K-5080],Intel,Unknown,Unknown,5.7,36,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5080,Unknown
Pc de Bureau Gamer MYTEK i7 14è Gén 128Go RTX 5090 32G,"16 599,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-128go-rtx-5090-32g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-14e-gen-128go-rtx-5090-32g.jpg,Sur commande 48h,[GALILEO-14700K-5090],Intel,i7-14700k,Unknown,5.6,33,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5090,Unknown
Pc de Bureau Gamer MYTEK i9 14è Gén 128Go RTX 5090 32G,"17 499,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i9-14e-gen-128go-rtx-5090-32g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i9-14e-gen-128go-rtx-5090-32g.jpg,Sur commande 48h,[GALILEO-14900K-5090],Intel,i9-14900k,Unknown,6,36,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5090,Unknown
Pc de Bureau Gamer MYTEK Ultra 7 265K 128Go RTX 5090 32G,"18 399,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-5090-32g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-5090-32g.jpg,Sur commande 48h,[KEPLER-265K-5090],Intel,Unknown,Unknown,5.5,30,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5090,Unknown
Pc de Bureau Gamer MYTEK Ultra 9 285K 128Go RTX 5090 32G,"19 599,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-9-285k-128go-rtx-5090-32g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-9-285k-128go-rtx-5090-32g.jpg,Sur commande 48h,[KEPLER-285K-5090],Intel,Unknown,Unknown,5.7,36,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5090,Unknown
